key word,description
Computer Science,"Ngành học Khoa học Máy tính tập trung vào tư duy giải quyết vấn đề, phát triển phần mềm, trí tuệ nhân tạo và khoa học dữ liệu. Sinh viên sẽ tìm hiểu về các khái niệm toán học cơ bản quan trọng trong lập trình, xây dựng trình độ chuyên môn trong quá trình thiết kế hệ thống và ứng dụng, tích lũy kinh nghiệm trong việc thu thập và phân tích dữ liệu bằng công nghệ hiện đại, bắt đầu hình thành nhận thức về vai trò của người dùng trong thiết kế của các hệ thống và ứng dụng. Trong tương lai, sinh viên cũng sẽ có cơ hội đi sâu vào chuyên môn hơn nữa bằng cách chọn chuyên ngành như khoa học dữ liệu, trí tuệ nhân tạo và công nghệ học máy, phân tích kinh doanh, truyền thông kỹ thuật số và công nghệ phần mềm. Link: https://fulbright.edu.vn/vi/major/khoa-hoc-may-tinh/"
Applied Mathematics,"Toán ứng dụng là ngành nghiên cứu, ứng dụng các khái niệm và phương pháp toán học để giải quyết những vấn đề phức tạp trong nhiều lĩnh vực như khoa học tự nhiên, kỹ thuật, kiến trúc, kinh doanh, công nghiệp, thậm chí cả tâm lý học và khoa học xã hội. Ngành này sẽ cung cấp nền tảng vững chắc và kiến thức nâng cao về Đại số tuyến tính, Phân tích và Thống kê. Các sinh viên tốt nghiệp sẽ được trang bị kiến thức và kỹ năng vững chắc để theo học các cấp độ sau đại học về Toán học hoặc Thống kê cũng như theo đuổi sự nghiệp trong lĩnh vực khoa học dữ liệu (học máy, trí tuệ nhân tạo), kỹ thuật (xử lý tín hiệu, tài chính, tối ưu hóa và mô phỏng) hoặc khoa học xã hội. Link: https://fulbright.edu.vn/vi/major/toan-hoc-ung-dung/"
Intergrated Sciences,"Ngành Khoa học Tích hợp là chương trình học đơn nhất mang tính toàn diện, bao gồm nội dung về nhiều lĩnh vực khoa học như Sinh học, Hóa học và Khoa học Môi trường. Sinh viên ngành Khoa học Tích hợp sẽ được trải nghiệm các hướng tiếp cận đa ngành, định hướng nghiên cứu để khám phá tri thức về khoa học. Đồng thời, sinh viên cũng có thể theo đuổi những chuyên ngành cụ thể thuộc lĩnh vực khoa học tự nhiên như: (1) Khoa học Môi trường và Phát triển Bền vững, hoặc (2) Sinh học và Khoa học Sức khỏe.  Link: https://fulbright.edu.vn/vi/major/khoa-hoc-tich-hop/"
Human-Centered Engineering,"Các học phần trong ngành Kỹ thuật được thiết kế và phát triển để cung cấp cho sinh viên kiến thức phổ quát về nhiều chuyên ngành khác nhau, bao gồm Kỹ thuật Điện, Kỹ thuật Máy tính, Kỹ thuật Cơ khí, Lý thuyết Điều khiển Tự động (Robot) và Tinh thần Khởi nghiệp. Các khóa học nâng cao và Đồ án Tốt nghiệp kéo dài hai học kỳ sẽ cung cấp cho sinh viên kiến thức sâu rộng và cơ hội áp dụng những gì đã học vào các vấn đề thực tế. Sau khi tốt nghiệp, sinh viên ngành Kỹ thuật có nhiều lựa chọn nghề nghiệp như thành lập công ty riêng, làm việc trong ngành hoặc theo học các chương trình sau đại học. Link: https://fulbright.edu.vn/vi/major/ky-thuat-vi-nhan-sinh/"
Arts and Media Studies,"Ngành học Nghiên cứu Nghệ thuật và Truyền thông là một chương trình giảng dạy liên ngành giúp sinh viên học được cách kết hợp lý thuyết và thực hành trong quá trình nghiên cứu và sáng tạo nghệ thuật. Sinh viên được khuyến khích tích hợp các phương pháp từ nhiều ngành học liên quan (bao gồm khoa học máy tính, kinh tế học, tâm lý học và nhân học), để từ đó học được cách lịch sử hóa, phân tích và lý thuyết hóa các tác phẩm nghệ thuật thuộc nhiều loại hình truyền thông khác nhau. Các môn sơ cấp, trung cấp và nâng cao khác, với mức độ nghiên cứu ngày càng chuyên sâu vào một hoặc nhiều lĩnh vực chuyên môn hoặc sáng tạo như lịch sử nghệ thuật, giám tuyển nghệ thuật, nghiên cứu phim ảnh, nghiên cứu truyền thông, nghệ thuật thị giác và biểu diễn. Sinh viên phát triển tư duy sáng tạo và phản biện để phân tích và sản xuất các sản phẩm truyền thông đa dạng. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-nghe-thuat-va-truyen-thong/"
Economics,"Ngành Kinh tế học cung cấp cho sinh viên kiến thức cần thiết để làm việc tại các cơ quan nhà nước và tư nhân cả trong lẫn ngoài Việt Nam. Chương trình cung cấp nền tảng vững chắc về kinh tế vi mô, kinh tế vĩ mô và kinh tế lượng. Ngành Kinh tế học tại Fulbright chuẩn bị cho sinh viên kiến thức để theo đuổi nhiều ngành nghề khác nhau cũng như nghiên cứu sau đại học trong lĩnh vực kinh tế­ tài chính­ kế toán­. Link: https://fulbright.edu.vn/vi/major/kinh-te-hoc/"
History,"Ngành Lịch sử trang bị cho sinh viên bộ kỹ năng thực tiễn và liên ngành, đặc biệt là kỹ năng giao tiếp, cộng tác, tư duy phản biện và diễn giải các hình thái chứng cứ lịch sử đa dạng, phân tích các quy luật từ tập dữ liệu lớn và khả năng hành văn lập luận thuyết phục. Khi học về lịch sử, sinh viên khám phá đời sống con người từ nhiều góc độ, phân tích nguyên nhân của các sự kiện lịch sử, theo dấu hành trình phát triển của nền văn minh, văn hóa nhân loại, đồng thời có được cái nhìn sâu sắc về cấu trúc chính trị, xã hội và kinh tế đã và đang định hình thế giới ngày nay. Ngành Lịch sử là hành trang lý tưởng để sinh viên tiếp tục theo đuổi các chương trình cao học, chương trình chuyên nghiệp sau đại học và những ngành nghề trong lĩnh vực chính sách công, kinh doanh, tư vấn, quản lý, luật, báo chí và giáo dục. Link: https://fulbright.edu.vn/vi/major/lich-su/"
Social Studies,"Ngành học Nghiên cứu Xã hội cung cấp một chương trình đào tạo trải rộng trên nhiều chủ đề, kết hợp phương pháp nghiên cứu đa dạng và cách tiếp cận lập luận phân tích chặt chẽ. Sinh viên theo học ngành mang tính liên ngành này được đào tạo nhiều bộ môn thuộc nhiều lĩnh vực khác nhau như nhân chủng học, xã hội học và chính trị học nhằm giải quyết các vấn đề lớn trong xã hội hiện đại. Sinh viên tốt nghiệp ngành Nghiên cứu Xã hội sẽ được trang bị đầy đủ để theo đuổi nghiên cứu sau đại học về khoa học xã hội cũng như nhiều ngành nghề đa dạng như làm việc cho tổ chức phi chính phủ (NGO), khởi nghiệp, tư vấn, nghiên cứu, lãnh đạo và làm việc trong các tổ chức quốc tế. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-xa-hoi/"
Psychology,"Ngành Tâm lý học cung cấp một giáo trình toàn diện bổ trợ cho các lĩnh vực khác như nghệ thuật, tin học, kinh tế, giáo dục, chăm sóc sức khoẻ, và quản trị kinh doanh. Chương trình trang bị cho cử nhân sự hiểu biết sâu rộng về chức năng của tâm lý, cảm xúc, hành vi và tương tác phức tạp giữa yếu tố sinh học, tâm lý, và văn hoá xã hội. Sinh viên ngành Tâm lý học được đào tạo để tiếp cận nhiều cơ hội nghề nghiệp khác nhau, ví dụ như dịch vụ nhân sinh và an sinh xã hội, nghiên cứu tiếp thị và tiêu dùng, giáo dục, nhân sự, và dịch vụ sức khoẻ tâm thần. Ngoài ra, chương trình đào tạo còn giúp sinh viên chuẩn bị kiến thức để theo học các chuyên ngành hoặc lĩnh vực liên quan sau đại học, chẳng hạn như tâm lý học nghề nghiệp, tư vấn tâm lý, tâm lý học giáo dục, và công tác xã hội. Link: https://fulbright.edu.vn/vi/major/tam-ly-hoc/"
Vietnam Studies,"Nội dung của ngành Việt Nam học bao gồm nghiên cứu học thuật các văn bản, tài liệu và nguồn thông tin chữ Hán-Nôm, tiếng Pháp, chữ Quốc ngữ cũng như các nghiên cứu quan trọng về chính trị, xã hội, văn hóa và kinh tế Việt Nam. Các nghiên cứu học thuật của ngành Việt Nam học mang bản chất liên ngành và không chỉ bao hàm chủ đề về con người, cộng đồng và thể chế trong phạm lãnh thổ Việt Nam, mà còn có cộng đồng người Việt hải ngoại cũng như Việt Nam trong bối cảnh khu vực Đông Á và Đông Nam Á. Việt Nam học là một lĩnh vực liên ngành nơi các học giả và sinh viên áp dụng lý thuyết và phương pháp của nhiều ngành (bao gồm nhân văn, khoa học xã hội và khoa học tự nhiên) cùng với các phương pháp tiếp cận xuyên ngành trong nghiên cứu về Việt Nam. Các môn học Nâng cao (cấp 300) sẽ giúp sinh viên ngành Việt Nam học bồi dưỡng chuyên môn trong lĩnh vực Việt Nam học và Khu vực học, Lịch sử dân tộc, Quan hệ Quốc tế, Kinh tế Liên ngành (ví dụ: kinh tế môi trường, hoặc kinh tế di sản), Văn hóa học, Giáo dục, Nhân văn số, Văn học và Phim ảnh Việt Nam. Ngoài ra, sinh viên Việt Nam học được khuyến khích đăng ký các ngành khác được giảng dạy tại Fulbright làm ngành phụ hoặc ngành kép. Tất cả sinh viên ngành Việt Nam học được yêu cầu học thêm một hoặc nhiều ngôn ngữ liên quan khác ngoài tiếng Anh và tiếng Việt để có thể vận dụng trong quá trình nghiên cứu nâng cao về Việt Nam. Sinh viên có thể tự tin theo đuổi nhiều ngành nghề như làm việc trong lĩnh vực nghệ thuật (như nghệ thuật trình diễn và điện ảnh), báo chí, các tổ chức văn hóa-giáo dục, hoặc các viện nghiên cứu. Ngoài ra, sinh viên Việt Nam học có thể đầu quân cho các tổ chức kinh tế, ngoại giao, tổ chức quốc tế; công ty du lịch, thương mại; và/hoặc các tổ chức chính phủ và phi chính phủ ở Việt Nam và quốc tế – những nơi yêu cầu kiến thức sâu rộng về đất nước Việt Nam. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-viet-nam/"
Literature,"Sinh viên ngành Văn học sẽ học cách nắm bắt được sắc thái của văn bản đồng thời trau dồi khả năng sáng tác: cách nói, viết lưu loát ở cả văn phong sáng tạo và trang trọng. Với phạm vi xuyên quốc gia và cách tiếp cận từ nhiều góc độ, sinh viên ngành Văn học được trang bị đầy đủ kiến thức và kỹ năng để sẵn sàng tương tác với những người có quan điểm và trải nghiệm bất đồng, kể cả trong nước lẫn thế giới. Với tấm bằng Văn học tại Fulbright, bạn sẽ được trang bị đầy đủ hành trang để theo học các chương trình sau đại học trong các lĩnh vực luật, hoạch định chính sách, xuất bản, báo chí và giáo dục. Link: https://fulbright.edu.vn/vi/major/van-hoc/"
